feature1,feature2,correlation
home_epa_per_play_l10,home_epa_per_play_season,0.9896098541720805
home_points_l10,home_points_season,0.9885353905048054
away_epa_per_play_l10,away_epa_per_play_season,0.9881001486355632
away_points_l10,away_points_season,0.9880244699257407
away_points_against_l10,away_points_against_season,0.9836483141290489
home_points_against_l10,home_points_against_season,0.9829419242086126
home_epa_per_play_l5,home_epa_per_play_l10,0.9358756524978263
home_points_l5,home_points_l10,0.931902652404336
away_epa_per_play_l5,away_epa_per_play_l10,0.9311250147014982
epa_per_play_l5_diff,epa_per_play_l10_diff,0.9306877141902208
away_points_l5,away_points_l10,0.9281744522408681
home_epa_per_play_l5,home_epa_per_play_season,0.9255252182336458
points_l5_diff,points_l10_diff,0.9250286876944438
home_success_rate_l5,home_success_rate_season,0.9218587499476627
home_points_l5,home_points_season,0.9206339990925262
away_epa_per_play_l5,away_epa_per_play_season,0.920331069321958
away_success_rate_l5,away_success_rate_season,0.916993636682517
away_points_l5,away_points_season,0.9167873983879444
away_points_against_l5,away_points_against_l10,0.9095460628871116
home_points_against_l5,home_points_against_l10,0.906465599495367
home_success_rate_l3,home_success_rate_l5,0.9055292481225795
venue_home_win_rate,venue_avg_margin,0.9051365460953207
home_points_l3,home_points_l5,0.9007026689196702
