game_id,season,week,home_team,away_team,home_score,away_score,spread_close,total_close,home_prior_epa_sum,home_prior_plays,home_prior_epa_mean,home_rest_days,away_prior_epa_sum,away_prior_plays,away_prior_epa_mean,away_rest_days,epa_diff_prior,plays_diff_prior,rest_diff,home_margin,home_cover,is_push
1999_03_SF_ARI,1999,3,ARI,SF,10,24,-2.5,45.5,-25.20160654089273,201.0,-0.12538112706911805,8.0,-28.213193402035145,172.0,-0.16403019419787876,8.0,0.038649067128760706,29.0,0.0,-14,0.0,False
1999_05_NYG_ARI,1999,5,ARI,NYG,14,3,3.0,37.5,-62.338378258026424,373.0,-0.16712701945851588,7.0,-32.19773875402237,361.0,-0.08919041206100378,7.0,-0.0779366073975121,12.0,0.0,11,1.0,False
1999_06_WAS_ARI,1999,6,ARI,WAS,10,24,-3.5,45.5,-70.60784922953647,456.0,-0.15484177462617646,7.0,71.9661000879346,376.0,0.19139920236152821,14.0,-0.3462409769877047,80.0,-7.0,-14,0.0,False
1999_08_NE_ARI,1999,8,ARI,NE,3,27,-3.0,40.5,-80.41929675241383,545.0,-0.1475583426649795,14.0,3.616705709318353,624.0,0.005796002739292232,7.0,-0.15335434540427173,-79.0,7.0,-24,0.0,False
1999_10_DET_ARI,1999,10,ARI,DET,23,19,-5.5,35.5,-116.05863977854952,700.0,-0.1657980568264993,7.0,-18.320903972363155,666.0,-0.0275088648233681,7.0,-0.13828919200313122,34.0,0.0,4,0.0,False
1999_11_DAL_ARI,1999,11,ARI,DAL,13,9,-1.5,35.0,-120.12514140508645,790.0,-0.1520571410190968,7.0,-8.743481346626243,801.0,-0.010915707049470966,7.0,-0.1411414339696258,-11.0,0.0,4,1.0,False
1999_13_PHI_ARI,1999,13,ARI,PHI,21,17,7.0,37.0,-121.90282398031307,968.0,-0.12593266940114986,7.0,-116.78839196338905,1000.0,-0.11678839196338904,7.0,-0.00914427743776082,-32.0,0.0,4,1.0,False
1999_15_BUF_ARI,1999,15,ARI,BUF,21,31,-3.0,37.5,-144.38555925412794,1114.0,-0.12961001728377733,7.0,-39.361729073998646,1151.0,-0.03419785323544626,7.0,-0.09541216404833107,-37.0,0.0,-10,0.0,False
2000_02_DAL_ARI,2000,2,ARI,DAL,32,31,3.0,38.5,-136.40239618035866,1467.0,-0.09298050182710202,7.0,-43.50497896133394,1563.0,-0.02783427956579267,7.0,-0.06514622226130935,-96.0,0.0,1,1.0,False
2000_04_GB_ARI,2000,4,ARI,GB,3,29,1.0,42.0,-124.54907310602016,1548.0,-0.08045805756202852,14.0,-6.18682906997556,1644.0,-0.003763278023099489,7.0,-0.07669477953892903,-96.0,7.0,-26,0.0,False
2000_06_CLE_ARI,2000,6,ARI,CLE,29,21,4.5,40.5,-138.5067503831848,1711.0,-0.08095076001355044,7.0,-104.52602731166158,1593.0,-0.06561583635383653,7.0,-0.015334923659713909,118.0,0.0,8,1.0,False
2000_07_PHI_ARI,2000,7,ARI,PHI,14,33,-2.5,39.0,-126.64623100067445,1800.0,-0.07035901722259691,7.0,-133.2113155840187,1857.0,-0.07173468798277798,7.0,0.0013756707601810664,-57.0,0.0,-19,0.0,False
2000_09_NO_ARI,2000,9,ARI,NO,10,21,-6.0,41.0,-145.93953911380225,1947.0,-0.07495610637586146,7.0,-203.72448926530888,2142.0,-0.09510947211265587,7.0,0.02015336573679441,-195.0,0.0,-11,0.0,False
2000_10_WAS_ARI,2000,10,ARI,WAS,16,15,-10.0,40.0,-151.78848423937382,2043.0,-0.07429685963748106,7.0,123.9246566367152,2406.0,0.05150650733030557,6.0,-0.12580336696778663,-363.0,1.0,1,0.0,False
2000_13_NYG_ARI,2000,13,ARI,NYG,7,31,-6.0,39.0,-169.1586372458351,2266.0,-0.07465076665747357,7.0,-31.873285158379932,2468.0,-0.012914621214902729,7.0,-0.06173614544257084,-202.0,0.0,-24,0.0,False
2000_16_BAL_ARI,2000,16,ARI,BAL,7,13,-15.0,37.5,-184.15817594391484,2509.0,-0.07339903385568547,7.0,-55.45501850294161,2639.0,-0.021013648542228727,7.0,-0.05238538531345674,-130.0,0.0,-6,0.0,False
2001_02_DEN_ARI,2001,2,ARI,DEN,17,38,-8.5,45.0,-222.51267047649753,2667.0,-0.08343182245088021,273.0,104.09506143147156,3195.0,0.03258061390656387,13.0,-0.11601243635744407,-528.0,260.0,-21,0.0,False
2001_03_ATL_ARI,2001,3,ARI,ATL,14,34,-3.0,42.0,-223.3298871386304,2736.0,-0.0816264207378035,7.0,-212.88074406924176,2796.0,-0.07613760517497917,7.0,-0.005488815562824337,-60.0,0.0,-20,0.0,False
2001_06_KC_ARI,2001,6,ARI,KC,24,16,-2.0,41.0,-227.38803993991678,2973.0,-0.0764843726673114,7.0,5.6337570161781185,3144.0,0.0017919074478938036,7.0,-0.0782762801152052,-171.0,0.0,8,1.0,False
2001_08_PHI_ARI,2001,8,ARI,PHI,7,21,-7.0,39.5,-236.24762648449274,3133.0,-0.07540620060149784,7.0,-120.94581929167424,3404.0,-0.03553049920436963,7.0,-0.03987570139712821,-271.0,0.0,-14,0.0,False
2001_09_NYG_ARI,2001,9,ARI,NYG,10,17,-5.5,37.5,-245.74971197023365,3219.0,-0.07634349548624841,7.0,-67.51562922117256,3843.0,-0.017568469742693875,7.0,-0.05877502574355454,-624.0,0.0,-7,0.0,False
2001_10_DET_ARI,2001,10,ARI,DET,45,38,2.0,39.5,-259.6365114552031,3286.0,-0.07901293714400581,7.0,-259.48450710766747,3519.0,-0.07373813785384128,7.0,-0.005274799290164528,-233.0,0.0,7,1.0,False
2001_13_WAS_ARI,2001,13,ARI,WAS,10,20,2.0,38.5,-212.24764447728487,3544.0,-0.05988929020239415,7.0,16.187070547455857,3883.0,0.004168702175497259,7.0,-0.0640579923778914,-339.0,0.0,-10,0.0,False
2001_15_DAL_ARI,2001,15,ARI,DAL,17,10,3.5,37.0,-224.1739241574147,3718.0,-0.060294223818562316,8.0,-182.05724394551703,3813.0,-0.04774645789287098,7.0,-0.012547765925691338,-95.0,1.0,7,1.0,False
2002_03_SD_ARI,2002,3,ARI,SD,15,23,-2.5,39.0,-216.80157051559553,4077.0,-0.0531767403766484,7.0,0.0,0.0,0.0,7.0,-0.0531767403766484,4077.0,0.0,-8,0.0,False
2002_04_NYG_ARI,2002,4,ARI,NYG,21,7,-3.0,38.5,-228.84166354882782,4149.0,-0.05515586009853647,7.0,-71.41575430801389,4781.0,-0.014937409393016918,7.0,-0.040218450705519555,-632.0,0.0,14,1.0,False
2002_07_DAL_ARI,2002,7,ARI,DAL,9,6,3.5,36.5,-237.1765285996542,4326.0,-0.05482582723061817,14.0,-229.1778054102915,4556.0,-0.05030241558610437,7.0,-0.0045234116445138015,-230.0,7.0,3,1.0,False
2002_09_STL_ARI,2002,9,ARI,STL,14,27,-5.0,43.5,-236.17642849647586,4515.0,-0.052309286488698974,7.0,0.0,0.0,0.0,14.0,-0.052309286488698974,4515.0,-7.0,-13,0.0,False
2002_10_SEA_ARI,2002,10,ARI,SEA,6,27,3.0,37.0,-247.09998949660982,4585.0,-0.05389312748017663,7.0,-45.698181986968706,4720.0,-0.009681818217578115,7.0,-0.04421130926259851,-135.0,0.0,-21,0.0,False
2002_12_OAK_ARI,2002,12,ARI,OAK,20,41,-9.5,44.0,-251.98471316315562,4732.0,-0.05325120734639806,7.0,0.0,0.0,0.0,7.0,-0.05325120734639806,4732.0,0.0,-21,0.0,False
2002_14_DET_ARI,2002,14,ARI,DET,23,20,-1.0,39.5,-278.9676379386667,4895.0,-0.056990324400136204,7.0,-382.1290575043142,5183.0,-0.0737273890612221,10.0,0.016737064661085897,-288.0,-3.0,3,1.0,False
2002_16_SF_ARI,2002,16,ARI,SF,14,17,-3.5,41.0,-277.08695882262697,5086.0,-0.0544803300870285,6.0,276.3657719982752,5430.0,0.05089609060741716,6.0,-0.10537642069444567,-344.0,0.0,-3,0.0,False
2003_02_SEA_ARI,2003,2,ARI,SEA,0,38,-5.0,44.5,-289.68423106480344,5334.0,-0.05430900469906326,7.0,30.47358004277898,5520.0,0.005520576094706337,7.0,-0.0598295807937696,-186.0,0.0,-38,0.0,False
2003_03_GB_ARI,2003,3,ARI,GB,20,13,-7.5,42.5,-315.9968103115652,5423.0,-0.058269741897762344,7.0,117.56730267355907,5870.0,0.020028501307250268,7.0,-0.07829824320501261,-447.0,0.0,7,0.0,False
2003_06_BAL_ARI,2003,6,ARI,BAL,18,26,-6.5,37.0,-332.32902238703207,5629.0,-0.059038731992721985,7.0,-269.5676418227955,6276.0,-0.042952141781834846,14.0,-0.01608659021088714,-647.0,-7.0,-8,0.0,False
2003_08_SF_ARI,2003,8,ARI,SF,16,13,-7.0,41.0,-342.88378729211047,5703.0,-0.06012340650396466,14.0,271.14346609142626,6366.0,0.04259243890848669,7.0,-0.10271584541245135,-663.0,7.0,3,0.0,False
2003_09_CIN_ARI,2003,9,ARI,CIN,17,14,-3.0,39.0,-353.854575427471,5795.0,-0.06106204925409336,7.0,-432.79432432136764,6127.0,-0.07063723262956874,7.0,0.009575183375475381,-332.0,0.0,3,,True
2003_12_STL_ARI,2003,12,ARI,STL,27,30,-7.0,44.0,-387.705059187479,6043.0,-0.06415771292197237,7.0,0.0,0.0,0.0,7.0,-0.06415771292197237,6043.0,0.0,-3,0.0,False
2003_15_CAR_ARI,2003,15,ARI,CAR,17,20,-7.0,38.5,-423.5296768697578,6273.0,-0.06751628835800379,7.0,-296.8206412573033,6443.0,-0.046068701110865015,7.0,-0.021447587247138772,-170.0,0.0,-3,0.0,False
2003_17_MIN_ARI,2003,17,ARI,MIN,18,17,-7.5,45.5,-438.62203677736966,6454.0,-0.06796127003058099,7.0,233.930077384303,7133.0,0.03279546858044343,8.0,-0.10075673861102441,-679.0,-1.0,1,0.0,False
2004_02_NE_ARI,2004,2,ARI,NE,12,23,-8.0,41.5,-444.8078621981401,6611.0,-0.06728299231555591,7.0,-81.13497259476699,7505.0,-0.010810789153200133,10.0,-0.05647220316235578,-894.0,-3.0,-11,0.0,False
2004_04_NO_ARI,2004,4,ARI,NO,34,10,-3.5,40.0,-478.536414486705,6767.0,-0.07071618360968006,7.0,-151.3120477227337,7385.0,-0.020489105988183303,7.0,-0.05022707762149675,-618.0,0.0,24,1.0,False
2004_07_SEA_ARI,2004,7,ARI,SEA,25,17,-6.5,40.0,-470.5823220802981,6938.0,-0.06782679764778007,14.0,137.9839528390613,7307.0,0.018883803590948583,7.0,-0.08671060123872866,-369.0,7.0,8,1.0,False
