season,games,pushes,brier,log_loss,hit_rate,roi
2004,267,0,0.200751668658366,0.5905306395907763,0.6853932584269663,0.3084842696629214
2005,267,0,0.17998395322196728,0.5363414364657849,0.7228464419475655,0.3799861423220975
2006,267,0,0.20549231199331222,0.595073322147321,0.6666666666666666,0.2727333333333334
2007,267,0,0.18832636569940614,0.55856492925697,0.6928838951310862,0.3227846441947566
2008,267,0,0.20108253760160869,0.5867076187405487,0.700374531835206,0.3370850187265918
2009,267,0,0.16663134735894153,0.5036384350586292,0.7790262172284644,0.4872389513108615
2010,267,0,0.20833593698190203,0.6061810829489673,0.6816479400749064,0.3013340823970038
2011,267,0,0.18976871747060317,0.563276961240035,0.6966292134831461,0.3299348314606742
2012,267,0,0.19508491650398194,0.5702737400684869,0.6853932584269663,0.3084842696629214
2013,267,0,0.17406490548519785,0.5203877241151601,0.7265917602996255,0.3871363295880151
2014,267,0,0.19807696471738787,0.5858964679629984,0.6891385767790262,0.31563445692883896
2015,267,0,0.1890025175982862,0.562190366852765,0.7078651685393258,0.35138539325842705
2016,267,0,0.18612981166309428,0.5613985919932482,0.7265917602996255,0.3871363295880151
2017,267,0,0.1916395963038758,0.5694227840007196,0.7078651685393258,0.35138539325842705
2018,267,0,0.18096291164051256,0.550301230390019,0.7490636704119851,0.4300374531835207
2019,267,0,0.1989133801415007,0.5862978204052982,0.6853932584269663,0.3084842696629214
2020,269,0,0.19696013685307615,0.5739665396173915,0.6877323420074349,0.3129498141263941
2021,285,0,0.2138834715128982,0.6145390882471844,0.6596491228070176,0.25933614035087715
2022,284,0,0.21570954436090306,0.6224727980035631,0.6584507042253521,0.2570482394366197
2023,285,0,0.2119080960215916,0.6182167750349274,0.6631578947368421,0.26603473684210527
2024,285,0,0.19388244558796502,0.5757047292786458,0.7192982456140351,0.3732122807017545
Overall,5680,0,0.19477729845836947,0.5742960464877428,0.6992957746478873,0.3350255633802818
