season,games,pushes,brier,log_loss,hit_rate,roi
2004,267,0,0.20391703002268421,0.5956393895700782,0.6629213483146067,0.2655831460674158
2005,267,0,0.18398673523202874,0.5449128350139951,0.7153558052434457,0.3656857677902622
2006,267,0,0.20456942079162274,0.592530257659072,0.6591760299625468,0.25843295880149825
2007,267,0,0.18073282570971724,0.5370309875528818,0.700374531835206,0.33708501872659175
2008,267,0,0.195149263311536,0.5720784202021398,0.700374531835206,0.3370850187265918
2009,267,0,0.16296193931679323,0.4916350675030183,0.7752808988764045,0.480088764044944
2010,267,0,0.20432989113391561,0.6018920328134262,0.6966292134831461,0.3299348314606742
2011,267,0,0.18628329908724814,0.5524877308093692,0.7265917602996255,0.3871363295880151
2012,267,0,0.18800093277354343,0.5524847393265531,0.7153558052434457,0.3656857677902622
2013,267,0,0.173151867467509,0.5163272871835154,0.7453183520599251,0.4228872659176031
2014,267,0,0.19106335348899398,0.5660867981908801,0.7116104868913857,0.35853558052434464
2015,267,0,0.19214563135232743,0.563768651941717,0.6928838951310862,0.3227846441947566
2016,267,0,0.18577937993637664,0.5663062901387012,0.7265917602996255,0.3871363295880151
2017,267,0,0.18563534026481127,0.550030937340703,0.6966292134831461,0.32993483146067415
2018,267,0,0.17540460361311216,0.5330332636770113,0.7490636704119851,0.43003745318352066
2019,267,0,0.20160759539336437,0.5941503018614551,0.7078651685393258,0.35138539325842705
2020,269,0,0.1908300902982652,0.5594364225619688,0.6988847583643123,0.33424089219330866
2021,285,0,0.2100607196913282,0.6080670444124825,0.6771929824561403,0.2928291228070176
2022,284,0,0.21139909481868097,0.6145334251030545,0.6866197183098591,0.31082570422535216
2023,285,0,0.2142545967061373,0.6201013117001675,0.6631578947368421,0.2660347368421053
2024,285,0,0.18991272118388175,0.5678340495104253,0.7087719298245614,0.3531164912280702
Overall,5680,0,0.19214007570502528,0.5671288800247323,0.7052816901408451,0.3464532746478874
