season,games,pushes,brier,log_loss,hit_rate,roi
2004,261,0,0.2878453150410095,0.7989152753250781,0.5057471264367817,-0.03447816091954019
2005,257,0,0.2591168215434998,0.7135670538091183,0.5214007782101168,-0.004593774319066114
2006,259,0,0.2681860647683055,0.732338538210551,0.49034749034749037,-0.06387760617760617
2007,262,0,0.25304219472994977,0.7002227290671211,0.5419847328244275,0.034703053435114525
2008,261,0,0.25703611091408807,0.7080973056591332,0.5019157088122606,-0.04179272030651339
2009,259,0,0.24768539795971423,0.6884169135973431,0.5598455598455598,0.06880115830115835
2010,262,0,0.2557917979202929,0.7050668330637061,0.5038167938931297,-0.03816335877862591
2011,256,0,0.2545627999232042,0.702415888426787,0.4921875,-0.06036484374999995
2012,262,0,0.24928593592468246,0.6916506255836,0.5305343511450382,0.012843129770992398
2013,260,0,0.24964220853973346,0.6924917666133714,0.5038461538461538,-0.038107307692307656
2014,261,0,0.2519854054865311,0.6972466359064868,0.4827586206896552,-0.07836551724137929
2015,257,0,0.25388257131256653,0.7011060381375249,0.4980544747081712,-0.049164202334630334
2016,262,0,0.2458968499634562,0.6843791880425814,0.5648854961832062,0.07842290076335882
2017,259,0,0.2530300340706413,0.6983347161556958,0.4826254826254826,-0.07861969111969108
2018,258,0,0.25515398930068306,0.7036634399479142,0.4689922480620155,-0.10464689922480618
2019,257,0,0.25079386581772156,0.6947677816934547,0.5019455252918288,-0.041735797665369626
2020,269,0,0.255400387255321,0.7067253041810672,0.5278810408921933,0.0077776951672862684
2021,281,0,0.2502231804227651,0.6936516817364144,0.5195729537366548,-0.008083274021352293
2022,274,0,0.2536689473907287,0.7005312858837993,0.48905109489051096,-0.0663525547445255
2023,271,0,0.2538846927626427,0.7009698671621105,0.4612546125461255,-0.11941881918819187
2024,281,0,0.25456132642182616,0.7023196657727815,0.44483985765124556,-0.1507562277580071
Overall,5529,0,0.2552423527387108,0.7054955590804961,0.5042503165129318,-0.03733572074516185
