season,week,clv_bps,roi
2023,1,-247.98038470371299,0.91
2023,2,-330.583764966875,0.6667260163081676
2023,3,300.709335420065,0.2671082338807469
2023,4,-174.65272968376502,0.2401937319417282
2023,5,-251.97456347352002,0.91
2023,6,-62.452335017647,0.727319409344139
2023,7,-115.05688023162999,0.7038447003533579
2023,8,-68.501723878618,0.5245354193900529
2023,9,441.630860076958,0.8349670449541919
2023,10,169.406807728807,0.91
2023,11,259.095628960122,0.91
2023,12,-321.74140172112004,0.5838766082623248
2023,13,-65.736632516944,0.0363846654659331
2023,14,121.70369641865399,0.1457237964754837
2023,15,-98.031366787826,0.7769084511031922
2023,16,-167.722364855026,0.5980593890444921
2023,17,15.268336307032,0.7896683349915777
2023,18,-212.53332545782402,0.91
2024,1,233.50654641276202,0.91
2024,2,-136.701964714009,0.5483802870784467
2024,3,-101.996024818881,-0.1511254012588486
2024,4,-230.217499128898,0.5804585543871572
2024,5,-148.630891255885,0.4673949807557764
2024,6,-76.308931742856,-0.0055802292373359
2024,7,-66.502031123485,0.2936409852836328
2024,8,240.581349175333,0.8226559794416823
2024,9,281.702654203319,0.3609750830635714
2024,10,-120.488982263406,0.4897196591948657
2024,11,-48.678939861959,0.7699314665833336
2024,12,-203.889730891063,0.0955781926972376
2024,13,75.961503525223,0.91
2024,14,187.27016482065798,0.6749567546777152
2024,15,-4.81241216219,0.2853922129705714
2024,16,68.093672896293,0.91
2024,17,83.856598745127,0.6750763367216166
2024,18,-92.87489989676999,0.466066785052357
2025,1,-42.97540028365,0.8159078275450374
2025,2,61.344121021813,0.5604709891586784
2025,3,31.513899613312002,0.495029111846486
2025,4,380.7515251612,0.91
2025,5,-930.53002073198,0.0
