model,n_games,brier,logloss,accuracy,roi
ens_stack_glm_xgb_state,5529,0.2515023293826892,0.6965517921403875,0.5109423042141437,-0.13478632478632482
ens_stack_glm_xgb,5529,0.2516535027459137,0.6973190574829576,0.5116657623440043,-0.11536842105263159
ens_stack_glm_state,5529,0.25170478045590505,0.6971178584636704,0.5120274914089347,-0.07886524822695039
ens_stack_xgb_state,5529,0.25186207686919926,0.6975925554902418,0.5100379815518177,-0.1723333333333334
glm,5529,0.25524235273871093,0.7054955590804964,0.5100379815518177,-0.06323389021479715
ens_mean_glm_xgb,5529,0.2566556999255907,0.7078142577196238,0.5129318140712606,-0.04500000000000007
ens_mean_glm_xgb_state,5529,0.2615032820298246,0.7175813774931199,0.49719659974678965,-0.08261204164780449
xgb,5529,0.2643477940981727,0.7260159700524116,0.5136552722011214,-0.04195859872611469
ens_mean_glm_state,5529,0.2691656710298495,0.7348275656035451,0.505335503707723,-0.05963868613138689
ens_mean_xgb_state,5529,0.2723838871998671,0.743257313014425,0.4981009224091156,-0.07498085758039821
state,5529,0.3197013475159243,0.908640404029125,0.5008138903960934,-0.06522921277268422
