"season","games","spread","total","home_ml","away_ml","home_spread_odds","away_spread_odds","over","under"
1999,259,1,1,0,0,0,0,0,0
2000,259,1,1,0,0,0,0,0,0
2001,259,1,1,0,0,0,0,0,0
2002,267,1,1,0,0,0,0,0,0
2003,267,1,1,0,0,0,0,0,0
2004,267,1,1,0,0,0,0,0,0
2005,267,1,1,0,0,0,0,0,0
2006,267,1,1,0.823970037453184,0.823970037453184,0.823970037453184,0.823970037453184,0.812734082397004,0.812734082397004
2007,267,1,1,0.99625468164794,0.99625468164794,0.99625468164794,0.99625468164794,0.99625468164794,0.99625468164794
2008,267,1,1,0.726591760299625,0.726591760299625,0.726591760299625,0.726591760299625,0.726591760299625,0.726591760299625
2009,267,1,1,0.947565543071161,0.947565543071161,0.947565543071161,0.947565543071161,0.947565543071161,0.947565543071161
2010,267,1,1,1,1,1,1,1,1
2011,267,1,1,1,1,1,1,1,1
2012,267,1,1,1,1,1,1,1,1
2013,267,1,1,1,1,1,1,1,1
2014,267,1,1,1,1,1,1,1,1
2015,267,1,1,1,1,1,1,1,1
2016,267,1,1,1,1,1,1,1,1
2017,267,1,1,0.99625468164794,0.99625468164794,0.99625468164794,0.99625468164794,0.99625468164794,0.99625468164794
2018,267,1,1,1,1,1,1,1,1
2019,267,1,1,1,1,1,1,1,1
2020,269,1,1,1,1,1,1,1,1
2021,285,1,1,1,1,1,1,1,1
2022,284,1,1,1,1,1,1,1,1
2023,285,1,1,1,1,1,1,1,1
2024,285,1,1,1,1,1,1,1,1
