game_id,season,week,spread_close,total_close,home_score,away_score,home_epa_mean,away_epa_mean,epa_gap,market_prob,p_hat,edge,action,r,b_prob,pi_prob
2006_01_MIA_PIT,2006,1,1.5,34.5,28,17,,,0.0,0.5442358810453114,0.5585769719849246,0.014341090939613221,1,0.9099999999999999,0.5565112682976509,0.5786507620348422
2006_01_ATL_CAR,2006,1,4.5,39.0,6,20,,,0.0,0.6305586598182363,0.6545048080747365,0.02394614825650021,1,-1.0,0.5709070248694762,0.5977463664047074
2006_01_NO_CLE,2006,1,3.0,36.0,14,19,,,0.0,0.5879295521290574,0.6088460546114288,0.020916502482371424,1,-1.0,0.5663689020944611,0.5917356671397231
2006_01_SEA_DET,2006,1,-6.0,44.0,6,9,,,0.0,0.3283606432818852,0.284841783424242,-0.0435188598576432,0,-0.0,0.470404486417778,0.46383089984536197
2006_01_PHI_HOU,2006,1,-6.0,37.0,10,24,,,0.0,0.3283606432818852,0.2950631534927432,-0.03329748978914199,0,-0.0,0.4854165757542,0.4837960347474448
2006_01_CIN_KC,2006,1,-1.5,49.5,10,23,,,0.0,0.4557641189546886,0.4239847885636589,-0.0317793303910297,0,-0.0,0.48765712381860365,0.4867814850266492
2006_01_BUF_NE,2006,1,10.0,41.0,19,17,,,0.0,0.7705746740352662,0.8058086866302758,0.03523401259500958,0,0.0,0.05,0.05
2006_01_DEN_STL,2006,1,-3.5,46.0,18,10,,,0.0,0.3977176056694844,0.3607990769501636,-0.036918528719320776,0,0.0,0.4800833310374813,0.4766950389612219
2006_01_BAL_TB,2006,1,3.0,33.0,0,27,,,0.0,0.5879295521290574,0.6139018134107542,0.02597226128169683,1,-1.0,0.57394007244601,0.6017584479093661
2006_01_NYJ_TEN,2006,1,2.5,35.0,16,23,,,0.0,0.5734581056840343,0.5931458597760078,0.01968775409197343,1,-1.0,0.5645275410266843,0.5892943109437156
2006_01_SF_ARI,2006,1,9.5,44.0,34,27,,,0.0,0.7591913433207377,0.7907002997523949,0.03150895643165719,0,0.0,0.05,0.05
2006_01_CHI_GB,2006,1,-3.5,35.0,0,26,,,0.0,0.3977176056694844,0.3789812765874599,-0.018736329082024494,0,-0.0,0.5070019739296127,0.5125973433805558
2006_01_DAL_JAX,2006,1,-2.5,36.5,24,17,,,0.0,0.42654189431596573,0.41111193033835186,-0.01542996397761387,0,0.0,0.5119288852270117,0.5191791977542228
2006_01_IND_NYG,2006,1,-3.0,47.5,21,26,,,0.0,0.4120704478709426,0.3752016215446268,-0.03686882632631583,0,-0.0,0.48015642837718436,0.4767923099280351
2006_01_MIN_WAS,2006,1,4.0,35.5,16,19,,,0.0,0.6164980929170679,0.6436299043216309,0.027131811404563,1,0.9099999999999999,0.5756751142287707,0.6040515798117011
2006_01_SD_OAK,2006,1,-3.0,41.5,0,27,,,0.0,0.4120704478709426,0.38523006836827567,-0.026840379502666933,0,-0.0,0.4949633379878858,0.4965245448164173
2006_02_TB_ATL,2006,2,4.5,36.0,14,3,,,0.0,0.6305586598182363,0.6593006540809045,0.028741994262668213,1,0.9099999999999999,0.5780834037022123,0.6072320529646641
2006_02_OAK_BAL,2006,2,13.0,34.0,28,6,,,0.0,0.8322169448845721,0.8708037032799119,0.03858675839533976,0,0.0,0.05,0.05
2006_02_DET_CHI,2006,2,7.0,32.0,34,7,,,0.0,0.6979517285214231,0.7410455010759264,0.04309377255450331,1,0.9099999999999999,0.599478200310535,0.6353439351141333
2006_02_CLE_CIN,2006,2,10.5,40.5,34,17,,,0.0,0.7816499846386211,0.8174432958644543,0.03579331122583318,0,0.0,0.05,0.05
