number,value,datetime_start,datetime_complete,duration,params_hidden_units,params_noise_sigma,params_player_sigma,params_prior_std,params_use_environment,params_use_opponent,params_use_vegas,user_attrs_coverage_90,user_attrs_interval_width,user_attrs_mae,user_attrs_num_features,state
0,0.5394587864034794,2025-10-18 08:00:03.936805,2025-10-18 08:17:47.422290,0 days 00:17:43.485485,32,0.379597545259111,0.39279757672456206,0.548167853281987,False,False,True,34.19117647058824,20.611754822579748,19.097894630865774,6.0,COMPLETE
1,-1.0,2025-10-18 08:17:47.430735,2025-10-18 08:17:47.460836,0 days 00:00:00.030101,32,0.26370173320348284,0.4329770563201687,0.31010530712092205,False,True,False,,,,,COMPLETE
2,-1.0,2025-10-18 08:17:47.466329,2025-10-18 08:17:47.491284,0 days 00:00:00.024955,8,0.30990855298810754,0.21685785941408728,0.8031341172643771,False,True,False,,,,,COMPLETE
3,-1.0,2025-10-18 08:17:47.496921,2025-10-18 08:17:47.516605,0 days 00:00:00.019684,8,0.48466566117599996,0.1260206371941118,0.7975848251366932,True,True,True,,,,,COMPLETE
4,-1.0,2025-10-18 08:17:47.521891,2025-10-18 08:17:47.540077,0 days 00:00:00.018186,16,0.47279612062363463,0.11375540844608736,0.36510881651216337,False,True,False,,,,,COMPLETE
5,0.39362291956979045,2025-10-18 08:17:47.546439,2025-10-18 08:45:09.910633,0 days 00:27:22.364194,32,0.46844820512829466,0.4757995766256757,1.4283407485879545,False,False,False,33.11148086522462,36.484957871524216,24.97773115768312,4.0,COMPLETE
6,0.37601848255532777,2025-10-18 08:45:09.917320,2025-10-18 08:58:44.513756,0 days 00:13:34.596436,16,0.3070259980080768,0.43149500366077176,0.5607832349462857,False,False,False,30.449251247920134,32.40049983111913,25.07792011809094,4.0,COMPLETE
7,-1.0,2025-10-18 08:58:44.519955,2025-10-18 08:58:44.551349,0 days 00:00:00.031394,8,0.44463842853645025,0.10220884684944097,1.039674002686047,True,True,False,,,,,COMPLETE
8,-1.0,2025-10-18 08:58:44.557098,2025-10-18 08:58:44.582297,0 days 00:00:00.025199,24,0.2190675050858071,0.23235920994105969,1.2033851836208813,True,True,False,,,,,COMPLETE
9,-1.0,2025-10-18 08:58:44.587771,2025-10-18 08:58:44.607101,0 days 00:00:00.019330,24,0.36838315927084886,0.404314019446759,0.3636755006057995,True,False,True,,,,,COMPLETE
