player_id,n_games,skill_start,skill_end,skill_change,skill_volatility,avg_yards
00-0019596,60,0,0,0,0,521.6333333333333
00-0020531,14,0,0,0,0,443.35714285714283
00-0022924,35,0,0,0,0,451.48571428571427
00-0022942,18,0,0,0,0,480.3888888888889
00-0023436,9,0,0,0,0,351.55555555555554
00-0023459,73,0,0,0,0,450.3972602739726
00-0023682,9,0,0,0,0,444.44444444444446
00-0026143,48,0,0,0,0,483.5833333333333
00-0026158,26,0,0,0,0,429.4230769230769
00-0026197,2,4.90395616880655,4.90395616880655,0,0,150
00-0026300,2,5.741181579693794,5.741181579693794,0,0,310.5
00-0026498,84,0,0,0,0,471.89285714285717
00-0026544,1,4.465908118654584,4.465908118654584,0,NA,86
00-0026625,2,4.871365886828366,4.871365886828366,0,0,129.5
00-0027688,9,0,0,0,0,198.88888888888889
00-0027939,19,0,0,0,0,310.2631578947368
00-0027948,2,5.006619208247624,5.006619208247624,0,0,148.5
00-0027973,39,0,0,0,0,391.6923076923077
00-0028118,12,0,0,0,0,378.25
00-0028986,4,5.013920283609148,5.013920283609148,0,0,166.5
00-0029263,78,0,0,0,0,426.2307692307692
00-0029567,11,0,0,0,0,372.45454545454544
00-0029604,76,0,0,0,0,498.11842105263156
00-0029701,60,0,0,0,0,396.5833333333333
00-0030520,12,0,0,0,0,308.3333333333333
00-0030565,57,0,0,0,0,445.7368421052632
00-0031237,34,0,0,0,0,419.20588235294116
00-0031280,80,0,0,0,0,464.5125
00-0031345,45,0,0,0,0,397.97777777777776
00-0031395,2,5.385083891928474,5.385083891928474,0,0,218.5
00-0031503,20,0,0,0,0,376.2
00-0031800,35,0,0,0,0,365.1142857142857
00-0032156,13,0,0,0,0,297.61538461538464
00-0032245,1,5.247024072160486,5.247024072160486,0,NA,189
00-0032268,16,0,0,0,0,307.8125
00-0032434,8,0,0,0,0,273.125
00-0032436,3,5.281073209961935,5.281073209961935,0,0,199.33333333333334
00-0032950,41,0,0,0,0,392.1951219512195
00-0033077,67,0,0,0,0,484.86567164179104
00-0033106,91,0,0,0,0,474.25274725274727
00-0033119,26,0,0,0,0,361.96153846153845
00-0033275,9,0,0,0,0,189.44444444444446
00-0033319,16,0,0,0,0,467.4375
00-0033357,8,0,0,0,0,206.125
00-0033537,38,0,0,0,0,430.8157894736842
