qb_wr_pair,qb_id,receiver_id,chemistry_mean,chemistry_se,chemistry_q025,chemistry_q975
00-0019596_00-0027029,00-0019596,00-0027029,0.001412383785301099,0.05192736952595729,-0.10558725449999999,0.1106317965
00-0019596_00-0027656,00-0019596,00-0027656,0.010206994857420925,0.04704084412507414,-0.08429912677499998,0.10730069550000002
00-0019596_00-0027793,00-0019596,00-0027793,0.002987109379991944,0.04973711828352808,-0.095868171,0.10880971825
00-0019596_00-0027944,00-0019596,00-0027944,0.00162329817283105,0.05310696571943764,-0.1035360395,0.11419279575
00-0019596_00-0029000,00-0019596,00-0029000,-0.0019600034826285006,0.05317538364900283,-0.11066973475,0.10887564100000005
00-0019596_00-0030456,00-0019596,00-0030456,-0.007408116826328648,0.05179355204129862,-0.11893305224999999,0.09185569987500003
00-0019596_00-0030496,00-0019596,00-0030496,0.0029638791953732254,0.05455287506409395,-0.1133856855,0.11634275475000015
00-0019596_00-0031273,00-0019596,00-0031273,-0.027581634091446254,0.051886099578949255,-0.14462420274999999,0.06520388937500002
00-0019596_00-0031408,00-0019596,00-0031408,0.011995890536160599,0.04759484160249497,-0.081632978775,0.11265414125000002
00-0019596_00-0032054,00-0019596,00-0032054,-0.0046715329425079995,0.055485493351692075,-0.126689601,0.11045689000000002
00-0019596_00-0033006,00-0019596,00-0033006,-0.0022059675249165005,0.05142677771434742,-0.111719607,0.10424799025000002
00-0019596_00-0033215,00-0019596,00-0033215,0.0075173177295798,0.05408090729882456,-0.10382628475,0.12184277400000004
00-0019596_00-0033856,00-0019596,00-0033856,0.017601220524504746,0.047724687726185336,-0.07071182732499999,0.123906685
00-0019596_00-0033879,00-0019596,00-0033879,0.005321652202593324,0.05150613885634981,-0.10097863024999999,0.11481207950000004
00-0019596_00-0033921,00-0019596,00-0033921,0.0113821384091964,0.046293422114010975,-0.07874643002500001,0.11189841175000002
00-0019596_00-0034386,00-0019596,00-0034386,0.003292503032008851,0.05327616506964874,-0.105113336,0.11603417650000003
00-0019596_00-0034411,00-0019596,00-0034411,-0.024840339549732398,0.052071917287013623,-0.14411559775000002,0.06985874392500001
00-0019596_00-0034613,00-0019596,00-0034613,-0.005460673523076849,0.052930038258368915,-0.12349856449999999,0.10233822025000004
00-0019596_00-0034816,00-0019596,00-0034816,-0.015686442822675752,0.053427381871924244,-0.13981676,0.08354393237500002
00-0019596_00-0035298,00-0019596,00-0035298,0.00400245257802641,0.05065797865268508,-0.10177040525,0.10719683025
00-0019596_00-0036427,00-0019596,00-0036427,-0.002022781363709575,0.05044494110002017,-0.10778477275000001,0.10365731975000005
00-0019596_00-0036450,00-0019596,00-0036450,-0.001199907465989081,0.0536833782579435,-0.11610855549999999,0.11446828400000002
00-0019596_00-0036877,00-0019596,00-0036877,-0.007747987426414777,0.05425369987504503,-0.12119363025,0.09872361195
00-0019596_00-0037256,00-0019596,00-0037256,0.002040020376593076,0.0528443096300731,-0.10249919725000001,0.11412372950000003
00-0019596_00-0038129,00-0019596,00-0038129,-0.019182834234178752,0.05213222453307893,-0.13676708524999998,0.07670634582500008
00-0020531_00-0027061,00-0020531,00-0027061,0.010167666649074201,0.050439938269169086,-0.090398230575,0.12036903175000001
00-0020531_00-0027685,00-0020531,00-0027685,-4.226971602086803e-4,0.05355141734186142,-0.1128692445,0.1112208975
00-0020531_00-0030513,00-0020531,00-0030513,0.005043432151977,0.053859916137062355,-0.10261076125,0.12351192550000001
00-0020531_00-0030670,00-0020531,00-0030670,-0.00913153719542575,0.053555398149977014,-0.1294865505,0.09747568665000002
00-0020531_00-0032200,00-0020531,00-0032200,4.138328446529491e-4,0.05387041966201023,-0.11001114449999999,0.116494175
00-0020531_00-0032765,00-0020531,00-0032765,-0.01073018438784075,0.05533003216855154,-0.13570866025,0.09803710332500004
00-0020531_00-0033906,00-0020531,00-0033906,0.022085014315241423,0.051380653002785374,-0.06886992274999999,0.1411099955
00-0020531_00-0034765,00-0020531,00-0034765,0.007048765942694276,0.05157551372427773,-0.09432683939999999,0.12100021375000002
00-0020531_00-0035215,00-0020531,00-0035215,0.00230079286659945,0.05203201132797117,-0.10818584725,0.11080078750000001
00-0020531_00-0035406,00-0020531,00-0035406,8.906504548764249e-4,0.05305503176155975,-0.1076880445,0.10903900425000003
00-0020531_00-0036040,00-0020531,00-0036040,-0.013479650849234151,0.055257541131038236,-0.1351881885,0.09290208692500006
00-0020531_00-0036219,00-0020531,00-0036219,0.002692023470023349,0.05183749851787196,-0.10461551925,0.11315322875000003
00-0020531_00-0036422,00-0020531,00-0036422,-0.004500723980195749,0.05292229206457848,-0.120408301,0.1050273645000002
00-0022924_00-0030470,00-0022924,00-0030470,0.001543397835414851,0.05251302430345112,-0.1085751615,0.10988923375000001
00-0022924_00-0031387,00-0022924,00-0031387,-0.0096596743993332,0.04954665726857628,-0.11640150349999999,0.08579389710000002
00-0022924_00-0033553,00-0022924,00-0033553,0.006842258542925075,0.05292157466488093,-0.1002017615,0.12169421750000002
00-0022924_00-0033857,00-0022924,00-0033857,-0.026142808593477753,0.0514594991627162,-0.1413177045,0.06932928615
00-0022924_00-0034331,00-0022924,00-0034331,-0.0021745553471581246,0.05358363561102305,-0.1139618325,0.11151147700000004
00-0022924_00-0034407,00-0022924,00-0034407,-0.02667649414200227,0.0543298386143445,-0.1478977685,0.0677597603
00-0022924_00-0034676,00-0022924,00-0034676,0.012963140276533476,0.051812608492795356,-0.087109476125,0.12406396550000003
00-0022924_00-0035216,00-0022924,00-0035216,-0.023170603199774976,0.049158158165960544,-0.13200975175000002,0.066699389275
00-0022924_00-0035217,00-0022924,00-0035217,7.917104124282286e-4,0.05332652248225969,-0.10883702875,0.11396410400000004
00-0022924_00-0035222,00-0022924,00-0035222,0.00654985746487725,0.053103873487678484,-0.10321023474999999,0.12377827
00-0022924_00-0036326,00-0022924,00-0036326,0.006459022962653998,0.048230563527684275,-0.089283986525,0.106470088
00-0022924_00-0036893,00-0022924,00-0036893,-0.006916919775724501,0.04972609888618155,-0.11307768049999999,0.091331674825
00-0022924_00-0036894,00-0022924,00-0036894,-0.005170703263608201,0.04814792505454146,-0.10676525099999999,0.09331051812500003
00-0022942_00-0029608,00-0022942,00-0029608,0.00388163992248325,0.05093967156016982,-0.10024301699999999,0.11265671400000002
00-0022942_00-0030181,00-0022942,00-0030181,0.01115586232538545,0.053496918926864506,-0.0956875837,0.12874439525
00-0022942_00-0030710,00-0022942,00-0030710,-0.012417126042463245,0.05269559145336296,-0.12873931175,0.08878573590000002
00-0022942_00-0032980,00-0022942,00-0032980,-0.0011492844774882,0.049780738064888794,-0.10424314550000001,0.10407398625000003
