feature,importance
venue_home_win_rate,1890.94873046875
venue_avg_margin,1873.060302734375
away_epa_per_play_l5,1714.5888671875
home_epa_per_play_l10,1707.9091796875
home_wins,1644.2421875
home_points_l3,1573.159423828125
pass_epa_l5_diff,1507.1312255859375
epa_per_play_l10_diff,1504.14453125
home_success_rate_season,1498.8585205078125
away_epa_per_play_season,1490.3927001953125
home_cover_rate_l10,1486.241455078125
points_l10_diff,1469.7813720703125
away_points_season,1427.4876708984375
home_epa_per_play_season,1408.8834228515625
spread_close,1386.8377685546875
away_success_rate_season,1349.33203125
home_over_rate_l10,1341.8006591796875
rush_epa_l5_diff,1341.354736328125
home_pass_epa_l5,1337.4609375
win_pct_diff,1334.94189453125
success_rate_l3_diff,1331.8642578125
points_l5_diff,1327.57568359375
implied_total_away,1326.414306640625
home_points_l5,1316.323486328125
away_epa_per_play_l10,1307.8839111328125
home_points_against_l10,1301.768310546875
home_points_against_season,1294.3328857421875
home_success_rate_l3,1291.0628662109375
epa_per_play_l3_diff,1288.398193359375
away_losses,1286.6378173828125
venue_avg_total,1279.3223876953125
away_points_l5,1278.206787109375
away_epa_home_avg,1277.7523193359375
implied_total_home,1275.8477783203125
away_points_l3,1272.1650390625
away_cover_rate_l10,1269.4525146484375
away_points_against_l5,1264.3238525390625
away_success_rate_l5,1256.0867919921875
success_rate_l5_diff,1249.9429931640625
total_close,1241.35888671875
home_rush_epa_l5,1235.8099365234375
home_points_against_l5,1229.078125
is_windy_game,1223.049072265625
away_success_rate_l3,1222.985595703125
home_epa_away_avg,1221.234375
home_losses,1208.10498046875
away_wins,1201.6064453125
home_points_l10,1184.4752197265625
away_pass_epa_l5,1182.140380859375
epa_per_play_l5_diff,1167.77783203125
home_points_against_l3,1167.4500732421875
away_epa_away_avg,1167.3741455078125
home_epa_home_avg,1134.5714111328125
is_outdoor,1127.05078125
home_points_season,1122.1710205078125
week,1118.13671875
points_l3_diff,1117.437255859375
away_points_l10,1103.912109375
home_epa_per_play_l5,1097.2830810546875
away_rush_epa_l5,1093.490478515625
cover_rate_diff,1082.0755615234375
away_points_against_season,1061.11767578125
away_win_pct,1051.5914306640625
spread_magnitude,1045.17626953125
away_points_against_l3,989.9287719726562
home_win_pct,951.0022583007812
home_success_rate_l5,886.1221923828125
away_points_against_l10,841.5195922851562
