feature,importance
venue_avg_total,1189.641845703125
home_success_rate_season,1022.386962890625
home_points_against_season,1009.0427856445312
total_close,992.8619995117188
home_wins,975.8294677734375
total_magnitude,967.4469604492188
home_cover_margin,948.58154296875
away_win_pct,945.0205078125
home_points_season,943.1216430664062
wind,932.9487915039062
success_rate_l5_diff,923.5316162109375
points_l10_diff,917.591552734375
combined_points_l5,916.1161499023438
away_epa_per_play_season,914.9683837890625
away_success_rate_season,908.62353515625
pass_epa_l5_diff,900.0648193359375
win_pct_diff,899.1085815429688
away_points_season,896.5584716796875
home_points_against_l5,896.4310913085938
rush_epa_l5_diff,881.3330688476562
points_l5_diff,875.0131225585938
combined_points_against_l5,869.8372802734375
success_rate_l3_diff,869.7027587890625
home_epa_per_play_l5,867.6890869140625
home_losses,867.273681640625
home_points_against_l3,860.7369995117188
away_wins,855.4320068359375
combined_points_l10,853.3605346679688
home_epa_per_play_l3,853.3005981445312
away_points_l10,852.710693359375
away_points_l3,852.4428100585938
away_epa_per_play_l5,841.2562255859375
home_success_rate_l5,839.270263671875
home_pass_epa_l5,838.5093383789062
home_points_l5,832.2609252929688
home_success_rate_l3,830.225341796875
home_epa_per_play_l10,821.623779296875
home_over_rate_l10,813.7600708007812
away_success_rate_l5,813.4135131835938
home_points_against_l10,812.18798828125
points_l3_diff,811.9896850585938
away_points_against_season,810.7279052734375
home_win_pct,810.0778198242188
home_rush_epa_l5,809.6332397460938
spread_close,804.93798828125
away_epa_per_play_l10,804.855712890625
away_success_rate_l3,800.34912109375
epa_per_play_l5_diff,799.1021728515625
away_pass_epa_l5,798.4639282226562
combined_points_l3,796.6926879882812
epa_per_play_l10_diff,791.64501953125
combined_points_against_l3,790.2173461914062
away_points_l5,790.1220703125
home_epa_home_avg,787.006591796875
combined_points_against_l10,786.1085205078125
home_epa_per_play_season,781.5549926757812
epa_per_play_l3_diff,777.713134765625
combined_over_rate_l10,773.5949096679688
home_epa_away_avg,762.1947631835938
venue_home_win_rate,758.6365356445312
home_points_home_avg,754.5586547851562
venue_avg_margin,751.8699340820312
away_points_home_avg,749.077392578125
home_points_l10,743.3746337890625
home_points_l3,741.8446655273438
home_points_away_avg,734.5150756835938
away_epa_per_play_l3,726.7890014648438
pace_differential,718.7425537109375
away_epa_home_avg,716.18408203125
away_points_against_l5,696.421875
away_epa_away_avg,693.1724853515625
away_over_rate_l10,689.8924560546875
away_points_away_avg,673.7857055664062
away_points_against_l3,672.1201171875
away_rush_epa_l5,668.7138061523438
away_losses,667.1837768554688
away_points_against_l10,662.4840698242188
temp,659.6829833984375
home_cover_rate_l10,590.0140380859375
away_cover_rate_l10,554.4678955078125
