task_id,alpha,lr,hidden_dims,epochs,seed,final_loss,td_loss,cql_loss,q_mean
805ae9f0,0.3,0.0001,"[128, 64, 32]",2000,42,0.024359801211036168,0.012923453450919343,0.038121158113846414,0.28202746235407317
fc3739d9,0.3,5e-05,"[256, 128, 64]",2000,42,0.02634578628035692,0.01314842846029653,0.0439911914559511,0.28034697702297795
c896b546,0.3,0.0001,"[256, 128, 64]",2000,42,0.027050321778425805,0.01667263240625079,0.03459229707144774,0.3106874032662465
655b2be4,0.3,0.0001,"[256, 128, 64]",1000,48,0.03024646625495874,0.012426377059175419,0.05940029454919008,0.28216328070713925
fef28489,0.3,0.0001,"[256, 128, 64]",1000,57,0.032269810971159205,0.015932648317315258,0.05445720685216097,0.286894475038235
a6d34ce8,0.5,0.0001,"[256, 128, 64]",2000,42,0.032937670699678935,0.020064841203678112,0.025745658275599662,0.28226481263454145
aa67f6f5,0.3,0.0001,"[256, 128, 64]",1000,58,0.0354644011419553,0.01670943655503484,0.06251654802606656,0.2808040197078998
88c895db,0.3,0.0001,"[256, 128, 64]",1000,47,0.03604949065125906,0.01620615517290739,0.06614444834681657,0.3007322515432651
487eb7aa,0.3,0.0001,"[256, 128, 64]",1000,51,0.036167779650825724,0.01814596140040801,0.060072726068588406,0.2800679562183527
dc57c8a2,0.3,0.0001,"[256, 128, 64]",1000,46,0.037252251918499284,0.01988644450186537,0.057886023504229694,0.294692351267888
a4756626,0.2,1e-4,"[2048, 1024, 512]",500,42,0.03782419430521818,0.01883334354855693,0.09495425052367724,0.27005056693003726
33ad8155,0.3,0.0001,"[256, 128, 64]",1000,54,0.03822274706684626,0.019124552965737306,0.06366064456792977,0.25646241582356966
bd2f56a1,0.25,1e-4,"[2048, 1024, 512, 256]",500,42,0.038387686014175415,0.019315502427231807,0.07628873477761562,0.28170564541449916
6a258e37,0.7,0.0001,"[256, 128, 64]",2000,42,0.03849101782991336,0.01835996564477682,0.028758646347201787,0.2689199229845634
bcf9db45,0.2,1e-4,"[1024, 512, 256]",500,42,0.03867083229124546,0.018783311681965224,0.09943760129121634,0.28428851870390087
fbaa0f3f,0.3,0.0001,"[256, 128, 64]",1000,50,0.038733420033867545,0.019876789767295122,0.06285543138018021,0.27452564583374905
6581f081,0.2,1e-4,"[512, 256, 128, 64]",500,42,0.038768054057772346,0.02059376798570156,0.0908714269216244,0.28917420827425444
c46a91c3,0.3,0.0001,"[256, 128, 64]",1000,53,0.03896649568699873,0.01981657951210554,0.06383305243574657,0.2752700299024582
de8c5584,0.2,1e-4,"[1024, 512, 256, 128]",500,42,0.03974350699438499,0.019015326701964323,0.10364089734279193,0.28272974261870754
3a5be1ef,0.3,0.0001,"[256, 128, 64]",1000,59,0.03985695025095573,0.018891347822948143,0.06988533672231895,0.26192796574189114
df2233d9,0.3,0.0001,"[256, 128, 64]",1000,55,0.04072802614134092,0.021531871914003905,0.06398717772502166,0.2690143699829395
20f16126,0.2,1e-4,"[2048, 1024, 512, 256]",500,42,0.04108521413917725,0.01569972072656338,0.12692746462730262,0.2833873148147876
90fe41f9,0.3,0.0001,"[256, 128, 64]",1000,44,0.041616523351806864,0.02404105641807501,0.05858488380908966,0.2944626636230029
74b1acbf,0.3,0.0001,"[256, 128, 64]",1000,52,0.041907620831177786,0.018180054182616565,0.07909188476892617,0.2776773331257013
090d1bd4,0.3,0.0001,"[256, 128, 64]",1000,61,0.04257739091721865,0.021094291256024286,0.07161033096221778,0.2803353105600064
ee237922,0.3,0.0001,"[256, 128, 64]",1000,42,0.04387684008822991,0.020144728692964867,0.07910703208584052,0.2806529517357166
80e26617,0.3,0.0001,"[256, 128, 64]",1000,49,0.04390821878153544,0.026714010558162745,0.05731402366207196,0.2766525103495671
3ea3746c,0.3,0.0001,"[256, 128, 64]",1000,60,0.04419591679022862,0.022282907667641457,0.07304336159275128,0.2760197955828447
08ca75ad,0.25,1e-4,"[2048, 1024, 512]",500,42,0.04421440984767217,0.019780213174481805,0.09773678619128007,0.25889845994802624
